Designator,Mid X,Mid Y,Layer,Rotation
D1,10.800mm,14.000mm,Top,90
D2,10.800mm,36.500mm,Top,90
D3,29.000mm,34.000mm,Top,90
D4,45.500mm,29.000mm,Top,90
D5,64.000mm,15.500mm,Top,90
D6,64.000mm,38.500mm,Top,90
U1,38.000mm,39.000mm,Bottom,0
U2,38.000mm,24.000mm,Bottom,0
U3,22.000mm,39.000mm,Bottom,0
U4,56.000mm,39.000mm,Bottom,0
U5,29.000mm,48.000mm,Bottom,0
U6,24.000mm,48.000mm,Bottom,0
J1,38.000mm,51.000mm,Bottom,180
Y1,24.000mm,32.000mm,Bottom,0
SW1,61.000mm,48.000mm,Bottom,0
SW2,69.000mm,48.000mm,Bottom,0
R1,32.000mm,44.000mm,Bottom,0
R2,36.000mm,44.000mm,Bottom,0
R3,50.000mm,49.000mm,Bottom,0
R4,55.000mm,49.000mm,Bottom,0
R5,45.000mm,28.000mm,Bottom,0
R6,49.000mm,28.000mm,Bottom,0
R7,34.000mm,28.000mm,Bottom,0
R8,54.000mm,28.000mm,Bottom,0
R9,61.000mm,42.000mm,Bottom,0
R10,47.000mm,45.000mm,Bottom,0
C1,32.000mm,36.000mm,Bottom,0
C2,44.000mm,36.000mm,Bottom,0
C3,32.000mm,20.000mm,Bottom,0
C4,44.000mm,20.000mm,Bottom,0
C5,20.000mm,34.000mm,Bottom,0
C6,56.000mm,34.000mm,Bottom,0
C7,28.000mm,44.000mm,Bottom,0
C8,53.000mm,43.000mm,Bottom,0
C9,25.000mm,26.000mm,Bottom,0
C10,50.000mm,22.000mm,Bottom,0
C11,60.000mm,39.000mm,Bottom,0
C12,62.000mm,35.000mm,Bottom,0
C13,21.000mm,28.000mm,Bottom,0
C14,28.000mm,29.000mm,Bottom,0
C15,31.000mm,28.000mm,Bottom,0
C16,55.000mm,22.000mm,Bottom,0
C17,66.000mm,42.000mm,Bottom,0
C18,46.000mm,42.000mm,Bottom,0
