Reference,Value,Pin,Pin Name,Net,Status,Notes
U1,RP2040,2,GPIO0,GPIO0_RESERVED,GREEN,Reserved for debug or future feature.
U1,RP2040,3,GPIO1,GPIO1_RESERVED_LP_EN_OPTION,YELLOW,Optional future firmware EN control; Rev A3 keeps LP5024 always enabled.
U1,RP2040,6,GPIO4/I2C0_SDA,I2C0_SDA,GREEN,
U1,RP2040,7,GPIO5/I2C0_SCL,I2C0_SCL,GREEN,
U1,RP2040,20,XIN,XIN,YELLOW,Crystal/load-cap value remains under review.
U1,RP2040,21,XOUT,XOUT,YELLOW,Crystal/load-cap value remains under review.
U1,RP2040,24,SWCLK,SWCLK,GREEN,
U1,RP2040,25,SWDIO,SWDIO,GREEN,
U1,RP2040,26,RUN,RUN_RESET,GREEN,
U1,RP2040,46,USB_DM,USB_DM_MCU,GREEN,
U1,RP2040,47,USB_DP,USB_DP_MCU,GREEN,
U1,RP2040,51,QSPI_SD3,FLASH_HOLD_IO3,GREEN,
U1,RP2040,52,QSPI_SCLK,FLASH_SCLK,GREEN,
U1,RP2040,53,QSPI_SD0,FLASH_IO0_MOSI,GREEN,
U1,RP2040,54,QSPI_SD2,FLASH_WP_IO2,GREEN,
U1,RP2040,55,QSPI_SD1,FLASH_IO1_MISO,GREEN,
U1,RP2040,56,QSPI_CSn,FLASH_CS_N_BOOTSEL,GREEN,
U1,RP2040,1,IOVDD,3V3,GREEN,
U1,RP2040,10,IOVDD,3V3,GREEN,
U1,RP2040,22,IOVDD,3V3,GREEN,
U1,RP2040,33,IOVDD,3V3,GREEN,
U1,RP2040,42,IOVDD,3V3,GREEN,
U1,RP2040,49,IOVDD,3V3,GREEN,
U1,RP2040,23,DVDD,3V3,YELLOW,Final RP2040 decoupling grouping still needs schematic review.
U1,RP2040,50,DVDD,3V3,YELLOW,Final RP2040 decoupling grouping still needs schematic review.
U1,RP2040,44,VREG_VIN,3V3,YELLOW,Confirm against RP2040 reference schematic during final signoff.
U1,RP2040,45,VREG_VOUT,RP2040_VREG_OUT,YELLOW,Confirm required capacitor placement/value during final signoff.
U1,RP2040,48,USB_VDD,3V3_USB,GREEN,
U1,RP2040,19,TESTEN,GND,GREEN,
U1,RP2040,57,EP/GND,GND,GREEN,
U2,LP5024RSMR,1,OUT0,D1_R,GREEN,
U2,LP5024RSMR,2,OUT1,D1_G,GREEN,
U2,LP5024RSMR,3,OUT2,D1_B,GREEN,
U2,LP5024RSMR,4,OUT3,D2_R,GREEN,
U2,LP5024RSMR,5,OUT4,D2_G,GREEN,
U2,LP5024RSMR,6,OUT5,D2_B,GREEN,
U2,LP5024RSMR,7,OUT6,D3_R,GREEN,
U2,LP5024RSMR,8,OUT7,D3_G,GREEN,
U2,LP5024RSMR,9,OUT8,D3_B,GREEN,
U2,LP5024RSMR,10,OUT9,D4_R,GREEN,
U2,LP5024RSMR,11,OUT10,D4_G,GREEN,
U2,LP5024RSMR,12,OUT11,D4_B,GREEN,
U2,LP5024RSMR,13,OUT12,D5_R,GREEN,
U2,LP5024RSMR,14,OUT13,D5_G,GREEN,
U2,LP5024RSMR,15,OUT14,D5_B,GREEN,
U2,LP5024RSMR,16,OUT15,D6_R,GREEN,
U2,LP5024RSMR,17,OUT16,D6_G,GREEN,
U2,LP5024RSMR,18,OUT17,D6_B,GREEN,
U2,LP5024RSMR,19,OUT18,NC_LP_OUT18_RESERVE,GREEN,
