"Refs","Value","Footprint","Qty","DNP"
"D1","RGB_LED","LED_SMD:LED_RGB_PLCC-6","1",""
"D2","RGB_LED","LED_SMD:LED_RGB_PLCC-6","1",""
"D3","RGB_LED","LED_SMD:LED_RGB_PLCC-6","1",""
"D4","RGB_LED","LED_SMD:LED_RGB_PLCC-6","1",""
"D5","RGB_LED","LED_SMD:LED_RGB_PLCC-6","1",""
"D6","RGB_LED","LED_SMD:LED_RGB_PLCC-6","1",""
"J1","USB_C_Receptacle_USB2.0","Connector_USB:USB_C_Receptacle_HRO_TYPE-C-31-M-12","1",""
"SW1","BOOT","Button_Switch_SMD:SW_SPST_EVQP2_ShortPushTravel_H2.1mm","1",""
"SW2","RESET","Button_Switch_SMD:SW_SPST_EVQP2_ShortPushTravel_H2.1mm","1",""
"SWD1","SWD_1x05","Connector_PinHeader_1.27mm:PinHeader_1x05_P1.27mm_Vertical","1",""
"U1","RP2040","Package_DFN_QFN:QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm_ThermalVias","1",""
"U2","LP5024","Package_DFN_QFN:VQFN-32-1EP_4x4mm_P0.4mm_EP2.8x2.8mm_ThermalVias","1",""
"U3","W25Q32JVSS","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","1",""
"U4","AP2112K-3.3","Package_TO_SOT_SMD:SOT-23-5","1",""
"U5","TPD2EUSB30","Package_TO_SOT_SMD:SOT-23-6","1",""
"Y1","12MHz","Crystal:Crystal_SMD_TXC_7M-4Pin_3.2x2.5mm","1",""
