Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C_0603_1608Metric",40.000000,-44.000000,0.000000,bottom
"C2","100nF","C_0603_1608Metric",52.000000,-44.000000,0.000000,bottom
"C3","100nF","C_0603_1608Metric",40.000000,-23.000000,0.000000,bottom
"C4","100nF","C_0603_1608Metric",52.000000,-23.000000,0.000000,bottom
"C5","100nF","C_0603_1608Metric",24.000000,-45.000000,0.000000,bottom
"C6","100nF","C_0603_1608Metric",68.000000,-47.000000,0.000000,bottom
"C7","100nF","C_0603_1608Metric",35.000000,-58.000000,0.000000,bottom
"C8","100nF","C_0603_1608Metric",61.000000,-56.000000,0.000000,bottom
"C9","100nF","C_0603_1608Metric",31.000000,-36.000000,0.000000,bottom
"C10","100nF","C_0603_1608Metric",61.000000,-36.000000,0.000000,bottom
"C11","10uF","C_0603_1608Metric",69.000000,-56.000000,0.000000,bottom
"C12","10uF","C_0603_1608Metric",68.000000,-60.000000,0.000000,bottom
"C13","CL","C_0603_1608Metric",26.000000,-38.000000,0.000000,bottom
"C14","CL","C_0603_1608Metric",32.000000,-38.000000,0.000000,bottom
"J1","USB_C","USB_C_Receptacle_HRO_TYPE-C-31-M-12",48.000000,-66.000000,180.000000,bottom
"R1","27R","R_0603_1608Metric",39.000000,-56.000000,0.000000,bottom
"R2","27R","R_0603_1608Metric",43.000000,-56.000000,0.000000,bottom
"R3","5.1k","R_0603_1608Metric",67.000000,-62.000000,0.000000,bottom
"R4","5.1k","R_0603_1608Metric",72.000000,-62.000000,0.000000,bottom
"R5","4.7k","R_0603_1608Metric",54.000000,-31.000000,0.000000,bottom
"R6","4.7k","R_0603_1608Metric",58.000000,-31.000000,0.000000,bottom
"SW1","BOOT","SW_SPST_EVQP2_ShortPushTravel_H2.1mm",78.000000,-57.000000,0.000000,bottom
"SW2","RESET","SW_SPST_EVQP2_ShortPushTravel_H2.1mm",87.000000,-57.000000,0.000000,bottom
"SWD1","SWD","PinHeader_1x05_P1.27mm_Vertical",12.000000,-61.000000,-90.000000,bottom
"U1","RP2040","QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm_ThermalVias",46.000000,-50.000000,0.000000,bottom
"U2","LP5024","VQFN-32-1EP_4x4mm_P0.4mm_EP2.8x2.8mm_ThermalVias",46.000000,-27.000000,0.000000,bottom
"U3","W25Q32JVSS","SOIC-8_3.9x4.9mm_P1.27mm",26.000000,-50.000000,0.000000,bottom
"U4","AP2112K-3.3","SOT-23-5",65.000000,-51.000000,0.000000,bottom
"U5","TPD2EUSB30","SOT-23-6",37.000000,-61.000000,0.000000,bottom
"Y1","12MHz","Crystal_SMD_TXC_7M-4Pin_3.2x2.5mm",29.000000,-42.000000,0.000000,bottom
"D1","RGB_LED","LED_RGB_PLCC-6",16.500000,-19.500000,90.000000,top
"D2","RGB_LED","LED_RGB_PLCC-6",16.500000,-44.500000,90.000000,top
"D3","RGB_LED","LED_RGB_PLCC-6",37.500000,-40.000000,90.000000,top
"D4","RGB_LED","LED_RGB_PLCC-6",58.500000,-34.000000,90.000000,top
"D5","RGB_LED","LED_RGB_PLCC-6",82.000000,-20.000000,90.000000,top
"D6","RGB_LED","LED_RGB_PLCC-6",82.000000,-46.500000,90.000000,top
