"Refs","Value","Footprint","Qty","DNP"
"D1","S4-3528RGBTA-A","LED_SMD:LED_RGB_Wuerth-PLCC4_3.2x2.8mm_150141M173100","1",""
"D2","S4-3528RGBTA-A","LED_SMD:LED_RGB_Wuerth-PLCC4_3.2x2.8mm_150141M173100","1",""
"D3","S4-3528RGBTA-A","LED_SMD:LED_RGB_Wuerth-PLCC4_3.2x2.8mm_150141M173100","1",""
"D4","S4-3528RGBTA-A","LED_SMD:LED_RGB_Wuerth-PLCC4_3.2x2.8mm_150141M173100","1",""
"D5","S4-3528RGBTA-A","LED_SMD:LED_RGB_Wuerth-PLCC4_3.2x2.8mm_150141M173100","1",""
"D6","S4-3528RGBTA-A","LED_SMD:LED_RGB_Wuerth-PLCC4_3.2x2.8mm_150141M173100","1",""
"J1","USB_C_Receptacle_USB2.0","Connector_USB:USB_C_Receptacle_HRO_TYPE-C-31-M-12","1",""
"SW1","BOOT","Button_Switch_SMD:SW_SPST_EVQP2_ShortPushTravel_H2.1mm","1",""
"SW2","RESET","Button_Switch_SMD:SW_SPST_EVQP2_ShortPushTravel_H2.1mm","1",""
"TP9","TP_SWDIO","TestPoint:TestPoint_Pad_D1.0mm","1",""
"TP10","TP_SWCLK","TestPoint:TestPoint_Pad_D1.0mm","1",""
"TP11","TP_RUN","TestPoint:TestPoint_Pad_D1.0mm","1",""
"TP12","TP_3V3","TestPoint:TestPoint_Pad_D1.0mm","1",""
"TP13","TP_GND","TestPoint:TestPoint_Pad_D1.0mm","1",""
"U1","RP2040","Package_DFN_QFN:QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm_ThermalVias","1",""
"U2","LP5024RSMR","Package_DFN_QFN:VQFN-32-1EP_4x4mm_P0.4mm_EP2.8x2.8mm_ThermalVias","1",""
"U3","W25Q32JVSSIQ","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","1",""
"U4","AP2112K-3.3TRG1","Package_TO_SOT_SMD:SOT-23-5","1",""
"U5","TPD2EUSB30DRTR","Package_TO_SOT_SMD:SOT-23-6","1",""
"Y1","12MHz","Crystal:Crystal_SMD_TXC_7M-4Pin_3.2x2.5mm","1",""
