Item,Qty,JLC Candidate,Unit USD,Extended USD,Status,Source
RP2040,1,C2040,0.9854,0.9854,priced,https://jlcpcb.com/partdetail/RaspberryPi-RP2040/C2040
LP5024RSMR,1,C427525,1.2622,1.2622,priced,https://jlcpcb.com/partdetail/TexasInstruments-LP5024RSMR/C427525
W25Q32JVSSIQ selected,1,C82344,1.1589,1.1589,stock risk,https://jlcpcb.com/partdetail/WINBOND-W25Q32JVSSIQ/C82344
W25Q32JVSSIQ in-stock alternate,1,C179173,1.4907,1.4907,preferred estimate until C82344 recovers,https://jlcpcb.com/partdetail/WinbondElec-W25Q32JVSSIQ/C179173
AP2112K-3.3TRG1,1,C51118,0.1622,0.1622,priced,https://jlcpcb.com/partdetail/DiodesIncorporated-AP2112K33TRG1/C51118
TPD2EUSB30DRTR,1,C94934,0.2127,0.2127,priced,https://jlcpcb.com/partdetail/TexasInstruments-TPD2EUSB30DRTR/C94934
TYPE-C-31-M-12,1,C165948,0.1820,0.1820,priced,https://jlcpcb.com/partdetail/HRO-TYPE_C_31_M_12/C165948
S4-3528RGBTA-A,6,C2827321,0.0310,0.1860,priced,https://jlcpcb.com/partdetail/OPSCOOptoelectronics-S4_3528RGBTA_A/C2827321
Known priced component subtotal,1,with C179173 alternate flash,,4.4812,estimate only,"PCB fabrication, SMT assembly, tooling, tax, and shipping are not included"
Known priced component subtotal,1,with selected C82344 flash,,4.1494,not recommended while stock risk remains,C82344 currently shows stock risk
"Passives, crystal, switches, test pads",1,mixed,,,unpriced,Lock exact C-codes during Rev A2
"PCB fabrication, SMT assembly, tooling, tax, shipping",1,JLC quote upload required,,,unpriced,JLC quote upload required
